day,memorization_link,answer_sheet,quizlet,extra_practice,practice_quiz_link,video_link,in_class_quiz,schedule
english_1_0,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/rL7VtXIkQVyA25vw,Quiz_Mastery_Bonus Reading
english_1_1,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/rL7VtXIkQVyA25vw,Memorization_Mastery_Bonus Reading
english_1_2,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/rL7VtXIkQVyA25vw,Memorization_Mastery_Bonus Reading
english_1_3,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/rL7VtXIkQVyA25vw,Memorization_Test Instructions_Test_Analyze Test_Worksheet_Mastery_Bonus Reading
english_1_4,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/rL7VtXIkQVyA25vw,Memorization_Mastery_Bonus Reading
english_1_5,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/rL7VtXIkQVyA25vw,Memorization_Test Instructions_Test_Analyze Test_Worksheet_Mastery_Bonus Reading
english_1_off,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/rL7VtXIkQVyA25vw,Off Day
english_2_0,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/PkCDpJaYx0W9EjwF,Quiz_Challenge_Mastery_Bonus Reading
english_2_1,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/PkCDpJaYx0W9EjwF,Memorization_Challenge_Mastery_Bonus Reading
english_2_2,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/PkCDpJaYx0W9EjwF,Memorization_Challenge_Mastery_Bonus Reading
english_2_3,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/PkCDpJaYx0W9EjwF,Memorization_Test_Analyze Test_Worksheet_Mastery_Bonus Reading
english_2_4,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/PkCDpJaYx0W9EjwF,Memorization_Challenge_Mastery_Bonus Reading
english_2_5,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/PkCDpJaYx0W9EjwF,Memorization_Test_Analyze Test_Worksheet_Mastery_Bonus Reading
english_2_off,https://bit.ly/3342AvE,,https://bit.ly/3342AvE,,,,https://quilgo.com/form/PkCDpJaYx0W9EjwF,Off Day
